"Genéricos que componen los indicadores más relacionados a choques"
"Genéricos","SF","S","E","TC","","Genéricos","SF","S","E","TC","","Genéricos","SF","S","E","TC"
"33 Leche de soya y otras leches","ü","","ü","","","183 Jabón para lavar","","","","ü","","Servicios Turísticos","","","",""
"67 Chiles envasados","","ü","ü","ü","","184 Plaguicidas","","","ü","","","227 Autobús foráneo","","","ü",""
"70 Frijol procesado","ü","ü","","","","186 Suavizantes y limpiadores","","","","ü","","232 Transporte aéreo","ü","","",""
"74 Otras legumbres secas","","","ü","","","202 Material de curación","","","ü","ü","","261 Servicios turísticos en paquete","ü","","ü","ü"
"81 Verduras envasadas","","ü","","ü","","203 Lentes, aparatos p/ sordera y ortop.","","","ü","ü","","277 Hoteles","","","","ü"
"87 Alimentos para bebé","ü","","","","","211 Automóviles","","","ü","ü","","Telecomunicaciones","","","",""
"88 Concentrados de pollo y sal","ü","","ü","","","212 Motocicletas","","","ü","","","235 Paq. de internet, tel. y tv. de paga","","","ü","ü"
"91 Moles y salsas","ü","ü","ü","ü","","213 Bicicletas","","","ü","","","236 Servicio de internet","","","ü","ü"
"92 Otros condimentos","ü","","ü","ü","","215 Neumáticos","","","","ü","","Vivienda","","","",""
"93 Sopas instant. y puré de tomate","ü","ü","","ü","","216 Part., acces. y refac. p/ vehículos","","","ü","ü","","Vivienda","","","",""
"97 Té","","","","ü","","242 Material y aparatos fotográficos","","","ü","ü","","138 Renta de vivienda","ü","","",""
"98 Agua embotellada","ü","","","ü","","245 Instrumentos musicales","","","ü","ü","","139 Vivienda propia","ü","ü","",""
"Resto de Mercancías","","","","","","246 Juegos electr. consola, videojuegos","","","ü","","","142 Otros servicios para el hogar","","","ü","ü"
"Artículos para Higiene y Cuidado Personal","","","","","","247 Juguetes y juegos de mesa","","","ü","ü","","188 Servicio doméstico","","","ü","ü"
"185 Servilletas de papel","","","ü","ü","","248 Artículos deportivos","","","ü","ü","","","","","",""
"280 Aparatos eléc. p/ cuidado pers.","ü","","ü","ü","","249 Plantas y flores","","","ü","ü","","","","","",""
"281 Navajas y máquinas de afeitar","","ü","","","","257 Otros libros","","","ü","ü","","Total","48","36","109","120"
"282 Artículos de maquillaje","","","ü","ü","","258 Periódicos","","ü","ü","ü","","Notas: Se incluyen los genéricos contenidos en algún indicador.SF: Inflación Subyacente Fundamental.S: Inflación Subyacente más Relacionada a Salarios.E: Inflación Subyacente más Relacionada a EnergéticosTC: Inflación Subyacente más Relacionada a Tipo de CambioFuente: Elaborado por Banco de México con información del INEGI."
"283 Crema y prod. p/ higiene dental","","","ü","ü","","259 Revistas","","","ü","ü",""
"284 Cremas para la piel","","","","ü","","260 Material escolar","","","","ü",""
"285 Desodorantes personales","","","ü","","","Ropa, Calzado y Accesorios","","","","",""
"286 Jabón de tocador","ü","","","","","109 Blusas y playeras para mujer","","","","ü",""
"287 Lociones y perfumes","","","ü","ü","","110 Calcetas, medias y pantimedias","","","","ü",""
""
